a.artist_id;a2.artist_id
6XYRpcgPIK9OejoVzA7PbC;1qNkvcsEC2Hry31JWkYO3D
6XYRpcgPIK9OejoVzA7PbC;0InCPtI0kadS7s3cZrcbbY
6XYRpcgPIK9OejoVzA7PbC;798kDjwOnvYR4iLHoDR3Gl
6XYRpcgPIK9OejoVzA7PbC;3LvDuQ0lHuIaNzW3Sv3NVO
6XYRpcgPIK9OejoVzA7PbC;0OVfimlbekXaMrP8IoCzHJ
6XYRpcgPIK9OejoVzA7PbC;0op3EnoEZ0jQY13sbyoSo2
6XYRpcgPIK9OejoVzA7PbC;7BdgXLhynRQk78pKkhAsAR
6XYRpcgPIK9OejoVzA7PbC;5cl9YjDDdgrN50CJzZO6er
6XYRpcgPIK9OejoVzA7PbC;5qPeAT4ikl6gJNUexAOEy0
6XYRpcgPIK9OejoVzA7PbC;3eAm5IYwnH7uTX5EBT9sbi
6XYRpcgPIK9OejoVzA7PbC;7Ix9GNTGIUIFBpPC6K0QeP
7Ix9GNTGIUIFBpPC6K0QeP;0op3EnoEZ0jQY13sbyoSo2
7Ix9GNTGIUIFBpPC6K0QeP;6XYRpcgPIK9OejoVzA7PbC
7Ix9GNTGIUIFBpPC6K0QeP;5cl9YjDDdgrN50CJzZO6er
7Ix9GNTGIUIFBpPC6K0QeP;0InCPtI0kadS7s3cZrcbbY
7Ix9GNTGIUIFBpPC6K0QeP;798kDjwOnvYR4iLHoDR3Gl
7Ix9GNTGIUIFBpPC6K0QeP;0OVfimlbekXaMrP8IoCzHJ
7Ix9GNTGIUIFBpPC6K0QeP;3eAm5IYwnH7uTX5EBT9sbi
7Ix9GNTGIUIFBpPC6K0QeP;1qNkvcsEC2Hry31JWkYO3D
0op3EnoEZ0jQY13sbyoSo2;6XYRpcgPIK9OejoVzA7PbC
0op3EnoEZ0jQY13sbyoSo2;0InCPtI0kadS7s3cZrcbbY
0op3EnoEZ0jQY13sbyoSo2;798kDjwOnvYR4iLHoDR3Gl
0op3EnoEZ0jQY13sbyoSo2;3eAm5IYwnH7uTX5EBT9sbi
0op3EnoEZ0jQY13sbyoSo2;1qNkvcsEC2Hry31JWkYO3D
0op3EnoEZ0jQY13sbyoSo2;0OVfimlbekXaMrP8IoCzHJ
0op3EnoEZ0jQY13sbyoSo2;5cl9YjDDdgrN50CJzZO6er
0op3EnoEZ0jQY13sbyoSo2;7Ix9GNTGIUIFBpPC6K0QeP
3VzGOFrX7MDtLe2Wfndgjt;5qPeAT4ikl6gJNUexAOEy0
3VzGOFrX7MDtLe2Wfndgjt;7ncQ3AmAxYqTv2vY46YclW
5qPeAT4ikl6gJNUexAOEy0;7ncQ3AmAxYqTv2vY46YclW
5qPeAT4ikl6gJNUexAOEy0;0InCPtI0kadS7s3cZrcbbY
5qPeAT4ikl6gJNUexAOEy0;7BdgXLhynRQk78pKkhAsAR
5qPeAT4ikl6gJNUexAOEy0;6XYRpcgPIK9OejoVzA7PbC
5qPeAT4ikl6gJNUexAOEy0;3LvDuQ0lHuIaNzW3Sv3NVO
5qPeAT4ikl6gJNUexAOEy0;1GRFao1QTh0i5Wx5Ms0A3I
5qPeAT4ikl6gJNUexAOEy0;3VzGOFrX7MDtLe2Wfndgjt
0OVfimlbekXaMrP8IoCzHJ;5cl9YjDDdgrN50CJzZO6er
0OVfimlbekXaMrP8IoCzHJ;6XYRpcgPIK9OejoVzA7PbC
0OVfimlbekXaMrP8IoCzHJ;7Ix9GNTGIUIFBpPC6K0QeP
0OVfimlbekXaMrP8IoCzHJ;798kDjwOnvYR4iLHoDR3Gl
0OVfimlbekXaMrP8IoCzHJ;1qNkvcsEC2Hry31JWkYO3D
0OVfimlbekXaMrP8IoCzHJ;0op3EnoEZ0jQY13sbyoSo2
0OVfimlbekXaMrP8IoCzHJ;0InCPtI0kadS7s3cZrcbbY
0OVfimlbekXaMrP8IoCzHJ;3eAm5IYwnH7uTX5EBT9sbi
1GRFao1QTh0i5Wx5Ms0A3I;5qPeAT4ikl6gJNUexAOEy0
1GRFao1QTh0i5Wx5Ms0A3I;0InCPtI0kadS7s3cZrcbbY
1GRFao1QTh0i5Wx5Ms0A3I;7BdgXLhynRQk78pKkhAsAR
1GRFao1QTh0i5Wx5Ms0A3I;3VzGOFrX7MDtLe2Wfndgjt
1GRFao1QTh0i5Wx5Ms0A3I;3eAm5IYwnH7uTX5EBT9sbi
1GRFao1QTh0i5Wx5Ms0A3I;3LvDuQ0lHuIaNzW3Sv3NVO
1GRFao1QTh0i5Wx5Ms0A3I;5cl9YjDDdgrN50CJzZO6er
1GRFao1QTh0i5Wx5Ms0A3I;0op3EnoEZ0jQY13sbyoSo2
1GRFao1QTh0i5Wx5Ms0A3I;6XYRpcgPIK9OejoVzA7PbC
1GRFao1QTh0i5Wx5Ms0A3I;7ncQ3AmAxYqTv2vY46YclW
1GRFao1QTh0i5Wx5Ms0A3I;0OVfimlbekXaMrP8IoCzHJ
0InCPtI0kadS7s3cZrcbbY;798kDjwOnvYR4iLHoDR3Gl
0InCPtI0kadS7s3cZrcbbY;5cl9YjDDdgrN50CJzZO6er
0InCPtI0kadS7s3cZrcbbY;3eAm5IYwnH7uTX5EBT9sbi
0InCPtI0kadS7s3cZrcbbY;7Ix9GNTGIUIFBpPC6K0QeP
0InCPtI0kadS7s3cZrcbbY;6XYRpcgPIK9OejoVzA7PbC
0InCPtI0kadS7s3cZrcbbY;0OVfimlbekXaMrP8IoCzHJ
0InCPtI0kadS7s3cZrcbbY;0op3EnoEZ0jQY13sbyoSo2
7BdgXLhynRQk78pKkhAsAR;0InCPtI0kadS7s3cZrcbbY
7BdgXLhynRQk78pKkhAsAR;5cl9YjDDdgrN50CJzZO6er
7BdgXLhynRQk78pKkhAsAR;3eAm5IYwnH7uTX5EBT9sbi
7BdgXLhynRQk78pKkhAsAR;3LvDuQ0lHuIaNzW3Sv3NVO
7BdgXLhynRQk78pKkhAsAR;5qPeAT4ikl6gJNUexAOEy0
7BdgXLhynRQk78pKkhAsAR;6XYRpcgPIK9OejoVzA7PbC
7BdgXLhynRQk78pKkhAsAR;0OVfimlbekXaMrP8IoCzHJ
7BdgXLhynRQk78pKkhAsAR;7ncQ3AmAxYqTv2vY46YclW
7BdgXLhynRQk78pKkhAsAR;798kDjwOnvYR4iLHoDR3Gl
7BdgXLhynRQk78pKkhAsAR;7Ix9GNTGIUIFBpPC6K0QeP
1qNkvcsEC2Hry31JWkYO3D;0op3EnoEZ0jQY13sbyoSo2
1qNkvcsEC2Hry31JWkYO3D;5cl9YjDDdgrN50CJzZO6er
1qNkvcsEC2Hry31JWkYO3D;7Ix9GNTGIUIFBpPC6K0QeP
1qNkvcsEC2Hry31JWkYO3D;3eAm5IYwnH7uTX5EBT9sbi
1qNkvcsEC2Hry31JWkYO3D;798kDjwOnvYR4iLHoDR3Gl
1qNkvcsEC2Hry31JWkYO3D;0InCPtI0kadS7s3cZrcbbY
1qNkvcsEC2Hry31JWkYO3D;0OVfimlbekXaMrP8IoCzHJ
3LvDuQ0lHuIaNzW3Sv3NVO;0InCPtI0kadS7s3cZrcbbY
3LvDuQ0lHuIaNzW3Sv3NVO;516I5yMeUCjpibhW6Jbn1U
3LvDuQ0lHuIaNzW3Sv3NVO;7BdgXLhynRQk78pKkhAsAR
3LvDuQ0lHuIaNzW3Sv3NVO;1qNkvcsEC2Hry31JWkYO3D
3LvDuQ0lHuIaNzW3Sv3NVO;1GRFao1QTh0i5Wx5Ms0A3I
3LvDuQ0lHuIaNzW3Sv3NVO;3eAm5IYwnH7uTX5EBT9sbi
3LvDuQ0lHuIaNzW3Sv3NVO;798kDjwOnvYR4iLHoDR3Gl
3LvDuQ0lHuIaNzW3Sv3NVO;0op3EnoEZ0jQY13sbyoSo2
3LvDuQ0lHuIaNzW3Sv3NVO;6XYRpcgPIK9OejoVzA7PbC
3LvDuQ0lHuIaNzW3Sv3NVO;0OVfimlbekXaMrP8IoCzHJ
3LvDuQ0lHuIaNzW3Sv3NVO;7Ix9GNTGIUIFBpPC6K0QeP
3LvDuQ0lHuIaNzW3Sv3NVO;5cl9YjDDdgrN50CJzZO6er
7fUEi9sgiLw8gwQ307T6IU;6XYRpcgPIK9OejoVzA7PbC
7fUEi9sgiLw8gwQ307T6IU;5qPeAT4ikl6gJNUexAOEy0
7fUEi9sgiLw8gwQ307T6IU;1GRFao1QTh0i5Wx5Ms0A3I
7fUEi9sgiLw8gwQ307T6IU;3VzGOFrX7MDtLe2Wfndgjt
7fUEi9sgiLw8gwQ307T6IU;0op3EnoEZ0jQY13sbyoSo2
7fUEi9sgiLw8gwQ307T6IU;0InCPtI0kadS7s3cZrcbbY
7fUEi9sgiLw8gwQ307T6IU;7BdgXLhynRQk78pKkhAsAR
7fUEi9sgiLw8gwQ307T6IU;7ncQ3AmAxYqTv2vY46YclW
7fUEi9sgiLw8gwQ307T6IU;3eAm5IYwnH7uTX5EBT9sbi
2FURpqYsZpi99ySpKCOyQE;0op3EnoEZ0jQY13sbyoSo2
2FURpqYsZpi99ySpKCOyQE;3eAm5IYwnH7uTX5EBT9sbi
2FURpqYsZpi99ySpKCOyQE;6XYRpcgPIK9OejoVzA7PbC
2FURpqYsZpi99ySpKCOyQE;5cl9YjDDdgrN50CJzZO6er
2FURpqYsZpi99ySpKCOyQE;7Ix9GNTGIUIFBpPC6K0QeP
2FURpqYsZpi99ySpKCOyQE;0OVfimlbekXaMrP8IoCzHJ
5cl9YjDDdgrN50CJzZO6er;6XYRpcgPIK9OejoVzA7PbC
5cl9YjDDdgrN50CJzZO6er;798kDjwOnvYR4iLHoDR3Gl
5cl9YjDDdgrN50CJzZO6er;0OVfimlbekXaMrP8IoCzHJ
5cl9YjDDdgrN50CJzZO6er;0InCPtI0kadS7s3cZrcbbY
5cl9YjDDdgrN50CJzZO6er;3eAm5IYwnH7uTX5EBT9sbi
5cl9YjDDdgrN50CJzZO6er;7Ix9GNTGIUIFBpPC6K0QeP
5cl9YjDDdgrN50CJzZO6er;0op3EnoEZ0jQY13sbyoSo2
3eAm5IYwnH7uTX5EBT9sbi;5cl9YjDDdgrN50CJzZO6er
3eAm5IYwnH7uTX5EBT9sbi;7Ix9GNTGIUIFBpPC6K0QeP
3eAm5IYwnH7uTX5EBT9sbi;0InCPtI0kadS7s3cZrcbbY
3eAm5IYwnH7uTX5EBT9sbi;6XYRpcgPIK9OejoVzA7PbC
3eAm5IYwnH7uTX5EBT9sbi;0OVfimlbekXaMrP8IoCzHJ
3eAm5IYwnH7uTX5EBT9sbi;798kDjwOnvYR4iLHoDR3Gl
3eAm5IYwnH7uTX5EBT9sbi;0op3EnoEZ0jQY13sbyoSo2
4F4pp8NUW08JuXwnoxglpN;1nwjHzOUQZsNYX8xoWiGVC
4F4pp8NUW08JuXwnoxglpN;4bJh7sMPcVRiqe5jlnsWQV
4F4pp8NUW08JuXwnoxglpN;4bWHA8fMNjzfGPQqnh5D6y
4F4pp8NUW08JuXwnoxglpN;6qyklgt2wzPT7KRdu15ZFL
4F4pp8NUW08JuXwnoxglpN;4cK5uxWRVJ3QOSfaBMX2Ex
4F4pp8NUW08JuXwnoxglpN;5JcO3FHEBbWTQMUHmWtU2g
4F4pp8NUW08JuXwnoxglpN;43Hr2FjhVehkROIIEb7EfQ
4F4pp8NUW08JuXwnoxglpN;5yD3wtXDmbOloiFzO3km1M
4F4pp8NUW08JuXwnoxglpN;4Ejyn899EXnQc0PhfKC7wY
4F4pp8NUW08JuXwnoxglpN;2t7vyRN71qtQT18frElAnV
4F4pp8NUW08JuXwnoxglpN;1rTUwYS38LkQTlT2fhikch
4F4pp8NUW08JuXwnoxglpN;0jeYkqwckGJoHQhhXwgzk3
5cl9YjDDdgrN50CJzZO6er;6XYRpcgPIK9OejoVzA7PbC
5cl9YjDDdgrN50CJzZO6er;798kDjwOnvYR4iLHoDR3Gl
5cl9YjDDdgrN50CJzZO6er;0OVfimlbekXaMrP8IoCzHJ
5cl9YjDDdgrN50CJzZO6er;0InCPtI0kadS7s3cZrcbbY
5cl9YjDDdgrN50CJzZO6er;3eAm5IYwnH7uTX5EBT9sbi
5cl9YjDDdgrN50CJzZO6er;7Ix9GNTGIUIFBpPC6K0QeP
5cl9YjDDdgrN50CJzZO6er;0op3EnoEZ0jQY13sbyoSo2
1GRFao1QTh0i5Wx5Ms0A3I;5qPeAT4ikl6gJNUexAOEy0
1GRFao1QTh0i5Wx5Ms0A3I;0InCPtI0kadS7s3cZrcbbY
1GRFao1QTh0i5Wx5Ms0A3I;7BdgXLhynRQk78pKkhAsAR
1GRFao1QTh0i5Wx5Ms0A3I;3VzGOFrX7MDtLe2Wfndgjt
1GRFao1QTh0i5Wx5Ms0A3I;3eAm5IYwnH7uTX5EBT9sbi
1GRFao1QTh0i5Wx5Ms0A3I;3LvDuQ0lHuIaNzW3Sv3NVO
1GRFao1QTh0i5Wx5Ms0A3I;5cl9YjDDdgrN50CJzZO6er
1GRFao1QTh0i5Wx5Ms0A3I;0op3EnoEZ0jQY13sbyoSo2
1GRFao1QTh0i5Wx5Ms0A3I;6XYRpcgPIK9OejoVzA7PbC
1GRFao1QTh0i5Wx5Ms0A3I;7ncQ3AmAxYqTv2vY46YclW
1GRFao1QTh0i5Wx5Ms0A3I;0OVfimlbekXaMrP8IoCzHJ
7Ix9GNTGIUIFBpPC6K0QeP;0op3EnoEZ0jQY13sbyoSo2
7Ix9GNTGIUIFBpPC6K0QeP;6XYRpcgPIK9OejoVzA7PbC
7Ix9GNTGIUIFBpPC6K0QeP;5cl9YjDDdgrN50CJzZO6er
7Ix9GNTGIUIFBpPC6K0QeP;0InCPtI0kadS7s3cZrcbbY
7Ix9GNTGIUIFBpPC6K0QeP;798kDjwOnvYR4iLHoDR3Gl
7Ix9GNTGIUIFBpPC6K0QeP;0OVfimlbekXaMrP8IoCzHJ
7Ix9GNTGIUIFBpPC6K0QeP;3eAm5IYwnH7uTX5EBT9sbi
7Ix9GNTGIUIFBpPC6K0QeP;1qNkvcsEC2Hry31JWkYO3D
7BdgXLhynRQk78pKkhAsAR;0InCPtI0kadS7s3cZrcbbY
7BdgXLhynRQk78pKkhAsAR;5cl9YjDDdgrN50CJzZO6er
7BdgXLhynRQk78pKkhAsAR;3eAm5IYwnH7uTX5EBT9sbi
7BdgXLhynRQk78pKkhAsAR;3LvDuQ0lHuIaNzW3Sv3NVO
7BdgXLhynRQk78pKkhAsAR;5qPeAT4ikl6gJNUexAOEy0
7BdgXLhynRQk78pKkhAsAR;6XYRpcgPIK9OejoVzA7PbC
7BdgXLhynRQk78pKkhAsAR;0OVfimlbekXaMrP8IoCzHJ
7BdgXLhynRQk78pKkhAsAR;7ncQ3AmAxYqTv2vY46YclW
7BdgXLhynRQk78pKkhAsAR;798kDjwOnvYR4iLHoDR3Gl
7BdgXLhynRQk78pKkhAsAR;7Ix9GNTGIUIFBpPC6K0QeP
2FURpqYsZpi99ySpKCOyQE;0op3EnoEZ0jQY13sbyoSo2
2FURpqYsZpi99ySpKCOyQE;3eAm5IYwnH7uTX5EBT9sbi
2FURpqYsZpi99ySpKCOyQE;6XYRpcgPIK9OejoVzA7PbC
2FURpqYsZpi99ySpKCOyQE;5cl9YjDDdgrN50CJzZO6er
2FURpqYsZpi99ySpKCOyQE;7Ix9GNTGIUIFBpPC6K0QeP
2FURpqYsZpi99ySpKCOyQE;0OVfimlbekXaMrP8IoCzHJ
0op3EnoEZ0jQY13sbyoSo2;6XYRpcgPIK9OejoVzA7PbC
0op3EnoEZ0jQY13sbyoSo2;0InCPtI0kadS7s3cZrcbbY
